,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
2467,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.2,1
2470,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.02,1
2473,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.05,1
2476,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.1,1
2479,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.01,1
2483,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 2.0",Recall,Threshold: 0.3,1
2489,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.2,1
2492,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.02,1
2495,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.05,1
2498,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.1,1
2501,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.01,1
2505,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 200, Learning Rate: 0.5",Recall,Threshold: 0.3,1
2511,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.2,1
2514,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.02,1
2517,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.05,1
2520,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.1,1
2523,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.01,1
2527,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 0.5",Recall,Threshold: 0.3,1
2533,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.2,1
2536,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.02,1
2539,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.05,1
2542,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.1,1
2545,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.01,1
2549,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 50, Learning Rate: 1.0",Recall,Threshold: 0.3,1
2552,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.5,1
2555,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.2,1
2558,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.02,1
2561,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.05,1
2564,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.1,1
2567,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.01,1
2571,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 0.5",Recall,Threshold: 0.3,1
2577,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.2,1
2580,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.02,1
2583,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.05,1
2586,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.1,1
2589,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.01,1
